epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
192,451.188,1.08985,1.93951,1.3318,0.8384,0.81429,0.80219,0.46628,1.64966,3.39182,1.87478,0.000448149,0.000149383,0.000448149,0.000149383,0.000448149,0.000149383,0.000448149,0.000149383
193,905.67,1.08567,1.93488,1.32397,0.8378,0.81471,0.80215,0.46616,1.6498,3.39008,1.87564,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
194,1360.77,1.09517,1.95321,1.33366,0.83856,0.81187,0.80204,0.46613,1.64875,3.38995,1.8743,0.00038968,0.000129893,0.00038968,0.000129893,0.00038968,0.000129893,0.00038968,0.000129893
195,1816.46,1.09017,1.9529,1.32908,0.83661,0.81345,0.80199,0.46643,1.64911,3.39431,1.87532,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968
196,2272.3,1.08864,1.94146,1.3271,0.83817,0.81328,0.80201,0.46669,1.64891,3.39976,1.87578,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259
197,2728.68,1.08235,1.93293,1.31986,0.83757,0.81345,0.80192,0.46628,1.64875,3.40132,1.87625,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
198,3184.48,1.09416,1.94465,1.32893,0.83876,0.81345,0.80197,0.46718,1.64862,3.401,1.87709,0.000316485,0.000105495,0.000316485,0.000105495,0.000316485,0.000105495,0.000316485,0.000105495
199,3639.47,1.0913,1.93774,1.32822,0.83913,0.81367,0.802,0.46742,1.64839,3.40449,1.87748,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443
200,4095.31,1.08582,1.93625,1.32574,0.83886,0.81345,0.80153,0.46687,1.64927,3.40627,1.87921,0.000301832,0.000100611,0.000301832,0.000100611,0.000301832,0.000100611,0.000301832,0.000100611
